"Ping Local" "Ping LocalApp-CorpApp" "Ping LocalApp-CorpDB" "Load Average LocalApp" "Load Average LocalDB" "Load Average CORPApp" "TNS ping LocalApp-LocalDB" "TNS ping LocalApp-CorpDB" "Class"
0.392 58.1 55.1 1.06 0.44 1.56 0 130 0
0.448 58.7 55.0 1.58 0.20 3.04 10 320 0
0.467 59.5 57.0 1.50 0.25 1.83 0 120 0
0.473 58.1 54.8 1.45 0.35 1.23 10 130 0
0.378 60.8 55.2 2.04 0.24 1.12 0 130 0
0.278 64.4 55.4 2.46 0.26 0.89 0 120 0
0.363 58.9 55.8 2.44 0.38 1.21 0 120 0
0.375 99.1 54.8 1.52 0.37 1.73 0 130 0
0.405 57.0 51.1 1.55 0.33 0.96 0 120 0
0.279 63.1 51.2 1.28 0.42 1.08 0 110 0
0.383 56.4 51.2 1.15 0.26 0.70 10 120 0
0.474 57.1 51.3 1.72 0.40 2.34 10 110 0
0.385 56.6 51.2 1.60 0.63 1.75 0 120 0
0.422 62.2 51.3 1.59 0.28 1.41 0 420 0
0.335 61.9 51.3 1.88 0.21 2.80 0 120 0
0.316 55.9 51.7 2.37 0.27 3.01 0 120 0
0.676 57.4 51.3 1.29 0.25 2.74 0 120 0
0.461 56.1 51.1 1.59 0.38 3.21 0 120 0
0.310 62.2 51.1 1.49 0.30 2.91 0 110 0
0.388 58.4 51.1 1.64 0.47 2.77 0 120 0
0.398 57.2 51.2 1.45 0.23 1.70 0 110 0
0.393 55.9 343 1.66 0.50 2.82 0 120 0
0.370 56.1 51.7 1.69 0.37 1.84 0 120 0
0.307 60.2 51.2 1.59 0.43 1.30 0 120 0
0.409 57.3 51.2 1.72 0.53 1.76 0 110 0
0.347 56.7 51.2 2.11 0.34 0.94 0 120 0
0.249 56.9 50.9 1.70 0.32 1.84 0 120 0
0.273 58.3 51.5 1.81 0.27 1.45 0 120 0
0.345 57.6 51.2 1.54 0.27 1.90 10 120 0
0.349 56.2 51.0 1.71 0.48 1.39 0 190 0
0.519 56.0 51.2 1.95 0.32 1.22 0 110 0
0.354 56.5 51.6 2.47 0.54 2.71 10 110 0
